date,Rn,Pa,Prcp,Tavg,VOD,LULC,LAI
1982-01-01,7.19339048032407,101.52975,0.00344617001246661,-3.39841308593799,,22,0.293593764305115
1982-01-02,27.7544097222222,101.224984375,1.2400490231812,-1.52301635742197,,22,0.292226575314999
1982-01-03,9.46808232060185,101.364453125,0.000546129740541801,-1.09256591796895,,22,0.290859386324883
1982-01-04,8.45942274305556,101.72046875,0.000864267235556326,-1.660803222656,,22,0.289492197334767
1982-01-05,13.2568446180556,101.2147890625,0.00171661304193549,-2.15277709960895,,22,0.288125008344651
1982-01-06,22.8889279513889,102.3184765625,0.0482380382891279,-3.12213745117197,,22,0.286757819354534
1982-01-07,18.6785575810185,101.16615625,0.00806152820587158,-2.82184448242197,,22,0.285390630364418
1982-01-08,19.3264930555556,100.552703125,0.00257492047239793,0.334039306641046,,22,0.284023441374302
1982-01-09,20.4278978587963,100.6314453125,0.000851569552651199,0.232568359375023,,22,0.282656252384186
1982-01-10,21.631986400463,100.254796875,0.00258002000919078,0.847589111328034,,22,0.280156251043082
1982-01-11,9.02025462962963,101.6669765625,0.00325943506140902,-2.247229003906,,22,0.277656249701977
1982-01-12,13.7660894097222,101.762515625,0.00171363353729248,-4.712164306641,,22,0.275156248360873
1982-01-13,17.6045630787037,101.690828125,0.0008620800144854,-4.72800292968799,,22,0.272656247019768
1982-01-14,28.6162181712963,101.518078125,0.0851929216878489,-3.19852294921895,,22,0.270156245678664
1982-01-15,5.15601888020833,102.3327421875,0.00160932529524871,-4.73276367187498,,22,0.267656244337559
1982-01-16,24.6584143518519,101.8321171875,0.00651478740110178,-3.22836914062498,,22,0.265156242996455
1982-01-17,3.6716431568287,101.767140625,0.00135600566864014,-4.32294311523395,,22,0.26265624165535
1982-01-18,10.8968438946759,101.7129296875,0.000858306862028257,-3.80109252929697,,22,0.261621087789536
1982-01-19,14.6153776041667,101.481953125,0.000852346317969932,-3.85959472656197,,22,0.260585933923722
1982-01-20,15.8113541666667,101.1094375,0.000861287105635711,-0.552770996093955,,22,0.259550780057907
1982-01-21,15.8339525462963,100.838140625,0.00128149974898406,-1.67731323242197,,22,0.258515626192093
1982-01-22,41.9711255787037,101.4644609375,0.00258332784142112,-0.903082275391,,22,0.257480472326279
1982-01-23,37.0109461805556,101.460140625,0.000941753341976437,0.846612548828034,,22,0.256445318460465
1982-01-24,47.4425434027778,102.14265625,0.00209014046959055,1.743981933594,,22,0.25541016459465
1982-01-25,20.468755787037,101.9943515625,0.000435173774349096,0.730706787109,,22,0.254375010728836
1982-01-26,27.3319762731482,102.38153125,0.0030029941626708,0.320947265625023,,22,0.253906261175871
1982-01-27,18.5968475115741,102.8238984375,0.00172176623891573,-3.661779785156,,22,0.253437511622906
1982-01-28,28.7393836805556,102.9245546875,0.000855326561577385,-4.53827514648395,,22,0.252968762069941
1982-01-29,24.6773292824074,102.398859375,0.00172239197127055,-3.73953857421895,,22,0.252500012516976
1982-01-30,43.811947337963,101.6436171875,0.00147145215123601,-1.77289428710895,,22,0.25203126296401
1982-01-31,34.627650462963,101.6615625,0.00128184979075741,-0.636145019531,,22,0.251562513411045
1982-02-01,38.1682638888889,102.0344765625,0.000429845357530212,-1.34540405273395,,22,0.25109376385808
1982-02-02,50.2266145833333,101.4486953125,0.116664174129255,0.171716308594,,22,0.250625014305115
1982-02-03,-10.6982313368056,101.8654921875,1.70347397215664,-3.12415161132799,,22,0.250800792127848
1982-02-04,24.6932407407407,101.98346875,0.0191252111108042,-3.91806640624998,,22,0.250976569950581
1982-02-05,31.9013252314815,101.818734375,0.00128448004943493,-2.59842529296895,,22,0.251152347773314
1982-02-06,45.6741001157408,102.0726875,0.00172257421127142,-2.38507690429697,,22,0.251328125596047
1982-02-07,39.2167592592593,101.909484375,0.00348905905411812,-1.68329467773395,,22,0.251503903418779
1982-02-08,33.7179340277778,102.08509375,0.00296831126433972,-1.32028808593799,,22,0.251679681241512
1982-02-09,44.7661429398148,102.296421875,0.00085574345121131,0.403649902344,,22,0.251855459064245
1982-02-10,44.3251591435185,101.922171875,0.000864267235556326,0.168176269531045,,22,0.252031236886978
1982-02-11,48.2690277777778,101.4853359375,0.000846385944441863,0.996240234375023,,22,0.254101552069187
1982-02-12,50.0868287037037,101.991609375,0,2.26592407226605,,22,0.256171867251396
1982-02-13,48.6499479166667,102.41609375,0.0012635853181564,0.0362792968750227,,22,0.258242182433605
1982-02-14,54.4015972222222,101.8646796875,0.00220153333430062,0.311120605469,,22,0.260312497615814
1982-02-15,54.7772280092593,101.1619296875,0.00215255772673117,2.06142578125002,,22,0.262382812798023
1982-02-16,57.4773263888889,101.087484375,0.00172257421127142,1.36626586914105,,22,0.264453127980232
1982-02-17,79.0112152777778,101.065765625,1.9090719288215,4.03023681640605,,22,0.266523443162441
1982-02-18,26.6400086805556,100.6603125,0.729833962395787,3.64064941406201,,22,0.26859375834465
1982-02-19,54.9211226851852,100.745921875,0.0188618778338423,5.31749877929701,,22,0.271777350455522
1982-02-20,41.9140625,100.84609375,0.0424116842623334,5.64049682617201,,22,0.274960942566394
1982-02-21,67.6334375,100.7251484375,0.00481605502500315,6.559167480469,,22,0.278144534677267
1982-02-22,22.9488758680556,101.1098203125,5.01367775723338,5.73146972656201,,22,0.281328126788139
1982-02-23,22.6070066550926,101.523359375,2.04352429136634,2.348962402344,,22,0.284511718899011
1982-02-24,42.5751388888889,101.68096875,0.00256379166785337,2.85982666015605,,22,0.287695311009884
1982-02-25,64.9133333333333,101.469390625,0.00128328042592329,5.75036010742201,,22,0.290878903120756
